OriginalAddress1,PermitNum,PermitClass,PermitClassMapped,PermitTypeDesc,Description,HousingUnits,HousingUnitsRemoved,HousingUnitsAdded,AppliedDate,EstProjectCost,IssuedDate,ExpiresDate,StatusCurrent,OriginalCity,OriginalState,OriginalZip,ContractorCompanyName,Link,Latitude,Longitude,Location1
1526 NW 62ND ST,6905383-CN,Single Family/Duplex,Residential,New,"Establish use as Duplex and Construct two-family dwelling, per plan. [PAR under 003113-22PA]",0,0,2,08/05/2022 12:00:00 AM,550500,03/15/2023 12:00:00 AM,09/15/2024 12:00:00 AM,Issued,SEATTLE,WA,98107,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6905383-CN,47.67398349,-122.3775303,"(47.67398349, -122.3775303)"
1405 E ALDER ST,6893056-CN,Single Family/Duplex,Residential,New,"Construct north one-family dwelling, per plans.  (Establish use for 2 single family residences and 1 detached accessory dwelling unit and construct 3 one-family dwellings.  Reviews and processing for 3 construction records under 6893056-CN)",1,1,1,08/04/2022 12:00:00 AM,144720,05/25/2023 12:00:00 AM,11/25/2024 12:00:00 AM,Issued,SEATTLE,WA,98122,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6893056-CN,47.60421666,-122.31378795,"(47.60421666, -122.31378795)"
7729 MARY AVE NW,6915233-CN,Multifamily,Residential,New,"Construct west two-family dwelling (Establish use as duplex, and construct (2) two-family dwellings, per plan.  Review & process for (2) records under 6864311-CN)",0,0,2,08/04/2022 12:00:00 AM,502768,05/17/2023 12:00:00 AM,11/17/2024 12:00:00 AM,Issued,SEATTLE,WA,98117,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6915233-CN,47.68600059,-122.37595777,"(47.68600059, -122.37595777)"
1409 E ALDER ST,6915206-CN,Single Family/Duplex,Residential,New,"Construct DADU, per plans.  (Establish use for 2 single family residences and 1 detached accessory dwelling unit and construct 3 one-family dwellings.  Reviews and processing for 3 construction records under 6893056-CN)",0,0,1,08/04/2022 12:00:00 AM,144720,05/25/2023 12:00:00 AM,11/25/2024 12:00:00 AM,Issued,SEATTLE,WA,98122,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6915206-CN,47.60408927,-122.31379349,"(47.60408927, -122.31379349)"
1528 NW 62nd ST,6914455-CN,Single Family/Duplex,Residential,New,"Establish use as townhouse and construct two-family dwelling, per plan.",0,0,2,08/04/2022 12:00:00 AM,568310,03/16/2023 12:00:00 AM,09/16/2024 12:00:00 AM,Issued,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6914455-CN,47.67413296,-122.37754667,"(47.67413296, -122.37754667)"
7731 MARY AVE NW,6864311-CN,Multifamily,Residential,New,"Construct east two-family dwelling (Establish use as duplex, and construct (2) two-family dwellings, per plan.  Review & process for (2) records under 6864311-CN)",0,0,2,08/04/2022 12:00:00 AM,502768,05/17/2023 12:00:00 AM,11/17/2024 12:00:00 AM,Issued,SEATTLE,WA,98117,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6864311-CN,47.68600401,-122.37575343,"(47.68600401, -122.37575343)"
8811 20TH AVE NE,6912982-CN,Single Family/Duplex,Residential,New,"Construct new one-family dwelling, per plan.  (Establish use as single family residence with attached and detached accessory dwelling units (AADU) and construct one and two family dwellings, per plan.  Review and process for two CN records under 6908791-CN).",0,0,1,08/03/2022 12:00:00 AM,175974,03/29/2023 12:00:00 AM,09/29/2024 12:00:00 AM,Issued,SEATTLE,WA,98115,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6912982-CN,47.69251132,-122.30708905,"(47.69251132, -122.30708905)"
10615 34TH AVE SW,6912732-CN,Single Family/Duplex,Residential,New,Construct a new accessory structure to serve as a personal art studio in the rear yard of this residence.,1,0,0,08/03/2022 12:00:00 AM,10000,08/03/2022 12:00:00 AM,08/03/2025 12:00:00 AM,Issued,SEATTLE,WA,98146,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6912732-CN,47.50772957,-122.3750311,"(47.50772957, -122.3750311)"
8813 20TH AVE NE,6908791-CN,Single Family/Duplex,Residential,New,"Construct new two-family dwelling, per plan.  (Establish use as single family residence with attached and detached accessory dwelling units (AADU) and construct one and two family dwellings, per plan.  Review and process for two CN records under 6908791-CN)",0,0,2,08/03/2022 12:00:00 AM,444212,03/29/2023 12:00:00 AM,09/29/2024 12:00:00 AM,Issued,SEATTLE,WA,98115,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6908791-CN,47.69253538,-122.30710603,"(47.69253538, -122.30710603)"
8356 31ST AVE NW,6915022-CN,Single Family/Duplex,Residential,New,"Construct DADU one-family dwelling, per plans.  (Establish use as single family residence with attached and detached accessory dwelling units; and construct two- and one-family dwellings.  Reviews and processing for two construction records under 6897533-CN)",0,0,1,08/03/2022 12:00:00 AM,176466,02/21/2023 12:00:00 AM,08/21/2024 12:00:00 AM,Issued,SEATTLE,WA,98117,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6915022-CN,47.68934003,-122.39644042,"(47.68934003, -122.39644042)"
4418 S OTHELLO ST,6890580-CN,Multifamily,Residential,New,"Construct a townhouse building, per plans",0,0,5,08/03/2022 12:00:00 AM,1007722,07/03/2023 12:00:00 AM,01/03/2025 12:00:00 AM,Issued,SEATTLE,WA,98118,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6890580-CN,47.53722204,-122.27708505,"(47.53722204, -122.27708505)"
4412 THACKERAY PL NE,6890648-CN,Single Family/Duplex,Residential,New,"Construct a detached accessory dwelling unit, per plans.",1,0,1,08/02/2022 12:00:00 AM,170252,01/20/2023 12:00:00 AM,07/20/2024 12:00:00 AM,Issued,SEATTLE,WA,98105,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6890648-CN,47.66063204,-122.3257742,"(47.66063204, -122.3257742)"
12015 36TH AVE NE,6892663-CN,Single Family/Duplex,Residential,New,"Construct new two-family dwelling, per plan.  (Establish use as single family residence with attached and detached accessory dwelling units (AADU/ DADU) and construct one and two family dwellings, per plan / Review and process for two CN records under 6892663-CN)",0,0,2,08/02/2022 12:00:00 AM,750200,04/10/2023 12:00:00 AM,10/10/2024 12:00:00 AM,Issued,SEATTLE,WA,98125,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6892663-CN,47.71598795,-122.28971199,"(47.71598795, -122.28971199)"
2906 SW HENDERSON ST,6914260-CN,Single Family/Duplex,Residential,New,"Construct West one-family dwelling, per plan. (Establish use as single family residence with (1) AADU and (1) DADU, construct new two-family dwelling and new one-family dwelling, per plan. Reviews and processing for 2 C/N's under 6913271-CN).",0,0,1,08/02/2022 12:00:00 AM,188644,01/26/2023 12:00:00 AM,07/26/2024 12:00:00 AM,Issued,,WA,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6914260-CN,47.52305386,-122.37047602,"(47.52305386, -122.37047602)"
12013 36TH AVE NE,6914445-CN,Single Family/Duplex,Residential,New,"Construct new one family dwelling (DADU), per plan.  (Establish use as single family residence with attached and detached accessory dwelling units (AADU/ DADU) and construct one and two family dwellings, per plan / Review and process for two CN records under 6892663-CN)",0,0,1,08/02/2022 12:00:00 AM,189300,04/10/2023 12:00:00 AM,10/10/2024 12:00:00 AM,Issued,SEATTLE,WA,98125,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6914445-CN,47.71596631,-122.29000441,"(47.71596631, -122.29000441)"
13505 MERIDIAN AVE N,6909684-CN,Single Family/Duplex,Residential,New,"Construct west two-family dwelling.  [Construct single-family residence with attached accessory dwelling unit [AADU], per plan. Existing single-family residence to be established as detached accessory dwelling unit [DADU]. Detached accessory garage to be removed. Review and processing for (2) construction records under 6909684-CN.]",1,0,2,08/01/2022 12:00:00 AM,343375,09/13/2022 12:00:00 AM,03/13/2024 12:00:00 AM,Issued,SEATTLE,WA,98133,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6909684-CN,47.72714282,-122.33477314,"(47.72714282, -122.33477314)"
418 B 24TH AVE E,6908793-CN,Single Family/Duplex,Residential,New,"Construct East one-family dwelling, per plan. (Establish use as single family residence with (1) DADU, construct two new one-family dwelling, per plan. Reviews and processing for 2 C/N's under 6908793-CN).",0,0,2,08/01/2022 12:00:00 AM,434900,04/18/2023 12:00:00 AM,10/18/2024 12:00:00 AM,Issued,SEATTLE,WA,98112,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6908793-CN,47.6231697,-122.30063521,"(47.6231697, -122.30063521)"
302 32ND AVE E,6907737-CN,Single Family/Duplex,Residential,New,"Construct new two-family dwelling, per plan. (Establish use as single family residence with (1) AADU and (1) DADU and Construct one- and two-family dwellings, per plan / Review and process for two CN records under 6907737)",0,0,2,08/01/2022 12:00:00 AM,571132,04/04/2023 12:00:00 AM,10/04/2024 12:00:00 AM,Issued,SEATTLE,WA,98112,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6907737-CN,47.62148707,-122.29100686,"(47.62148707, -122.29100686)"
418 24TH AVE E,6914204-CN,Single Family/Duplex,Residential,New,"Construct West one-family dwelling, per plan. (Establish use as single family residence with (1) DADU, construct two new one-family dwelling, per plan. Reviews and processing for 2 C/N's under 6908793-CN).",,,,08/01/2022 12:00:00 AM,182200,04/18/2023 12:00:00 AM,10/18/2024 12:00:00 AM,Issued,SEATTLE,WA,98112,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6914204-CN,47.62312931,-122.30086241,"(47.62312931, -122.30086241)"
912 12TH AVE E,6914298-CN,Single Family/Duplex,Residential,New,Complete and final for project 6486064-CN.,,,,07/30/2022 12:00:00 AM,1,08/04/2022 12:00:00 AM,08/04/2025 12:00:00 AM,Issued,SEATTLE,WA,98102,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6914298-CN,47.62695474,-122.31653277,"(47.62695474, -122.31653277)"
1115 NW 46th ST,6865136-CN,Commercial,Non-Residential,New,"Construct commercial structure (Extra Space Storage), occupy per plan. Mechanical is included.",0,0,0,07/28/2022 12:00:00 AM,11662829,11/02/2023 12:00:00 AM,05/02/2025 12:00:00 AM,Issued,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6865136-CN,47.66173359,-122.37119176,"(47.66173359, -122.37119176)"
2117 N 117TH ST,6892963-CN,Single Family/Duplex,Residential,New,"Construct new two-family dwelling, per plan.  (Establish use as single family residence with attached and detached accessory dwelling units (AADU & DADU) and construct one and two family dwellings, per plan.  Review and process for two CN records under 6892963-CN)",0,0,2,07/28/2022 12:00:00 AM,744000,09/20/2023 12:00:00 AM,03/20/2025 12:00:00 AM,Issued,SEATTLE,WA,98133,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6892963-CN,47.71389081,-122.33340379,"(47.71389081, -122.33340379)"
2119 N 117TH ST,6913936-CN,Single Family/Duplex,Residential,New,"Construct new one-family dwelling, per plan.  (Establish use as single family residence with attached and detached accessory dwelling units (AADU & DADU) and construct one and two family dwellings, per plan.  Review and process for two CN records under 6892963-CN)",0,0,1,07/28/2022 12:00:00 AM,168200,09/20/2023 12:00:00 AM,03/20/2025 12:00:00 AM,Issued,SEATTLE,WA,98133,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6913936-CN,47.71376148,-122.33327877,"(47.71376148, -122.33327877)"
8617 44TH AVE S,6835346-CN,Multifamily,Residential,New,"Establish use as and construct new townhouse structure, per plan.",1,1,4,07/27/2022 12:00:00 AM,862900,07/25/2023 12:00:00 AM,01/25/2025 12:00:00 AM,Issued,SEATTLE,WA,98118,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6835346-CN,47.52554384,-122.27835253,"(47.52554384, -122.27835253)"
2115 N 117TH ST,6913251-CN,Single Family/Duplex,Residential,New,"Construct DADU, per plans (Establish use as a single-family residence with both an attached and detached accessory dwelling unit and construct a two-family and single-family residence, per plans. Reviews and processing for two -CN's under 6896124).",0,0,1,07/25/2022 12:00:00 AM,180196,09/20/2023 12:00:00 AM,03/20/2025 12:00:00 AM,Issued,SEATTLE,WA,98133,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6913251-CN,47.71392805,-122.33355216,"(47.71392805, -122.33355216)"
9015 13TH AVE NW,6913149-CN,Multifamily,Residential,New,"Construct west bldg. per plans (Construct two townhouse buildings per plans, reviews and processing for two -CN's under 6890605)",0,0,4,07/25/2022 12:00:00 AM,754064,05/23/2023 12:00:00 AM,11/23/2024 12:00:00 AM,Issued,SEATTLE,WA,98117,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6913149-CN,47.69464148,-122.37300776,"(47.69464148, -122.37300776)"
2820 14TH AVE S,6913228-CN,Multifamily,Residential,New,"Construct east bldg. per plans  (Construct two-townhouse buildings and two single-family residences, occupy per plans. Reviews and processing for four -CN's under 6883531)",0,0,3,07/25/2022 12:00:00 AM,740820,09/05/2023 12:00:00 AM,03/05/2025 12:00:00 AM,Issued,SEATTLE,WA,98144,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6913228-CN,47.57816992,-122.31410747,"(47.57816992, -122.31410747)"
2828 14TH AVE S,6913233-CN,Multifamily,Residential,New,"Construct south-west dwelling, per plans (Construct two-townhouse buildings and two single-family residences, occupy per plans. Reviews and processing for four -CN's under 6883531)",0,0,1,07/25/2022 12:00:00 AM,231689,09/05/2023 12:00:00 AM,03/05/2025 12:00:00 AM,Issued,SEATTLE,WA,98144,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6913233-CN,47.57807129,-122.3143881,"(47.57807129, -122.3143881)"
2826 14TH AVE S,6913234-CN,Multifamily,Residential,New,"Construct south-middle dwelling, per plans (Construct two-townhouse buildings and two single-family residences, occupy per plans. Reviews and processing for four -CN's under 6883531)",0,0,1,07/25/2022 12:00:00 AM,225752,09/05/2023 12:00:00 AM,03/05/2025 12:00:00 AM,Issued,SEATTLE,WA,98144,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6913234-CN,47.57806553,-122.31425522,"(47.57806553, -122.31425522)"
12308 PINEHURST WAY NE,6909008-CN,Single Family/Duplex,Residential,New,Construct detached accessory dwelling unit [DADU] per standard plan 6880596-SP.,0,0,1,07/25/2022 12:00:00 AM,183314,01/01/2023 12:00:00 AM,07/01/2024 12:00:00 AM,Issued,SEATTLE,WA,98125,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6909008-CN,47.71792069,-122.31008986,"(47.71792069, -122.31008986)"
11556 MERIDIAN AVE N,6896124-CN,Single Family/Duplex,Residential,New,"Construct SFR + AADU, per plans (Establish use as a single-family residence with both an attached and detached accessory dwelling unit and construct a two-family and single-family residence, per plans. Reviews and processing for two -CN's under 6896124).",0,0,2,07/25/2022 12:00:00 AM,785558,09/20/2023 12:00:00 AM,03/20/2025 12:00:00 AM,Issued,SEATTLE,WA,98133,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6896124-CN,47.71393182,-122.33380831,"(47.71393182, -122.33380831)"
9013 13TH AVE NW,6890605-CN,Multifamily,Residential,New,"Construct east bldg. per plans (Construct two townhouse buildings per plans, reviews and processing for two -CN's under 6890605)",0,0,4,07/25/2022 12:00:00 AM,789287,05/23/2023 12:00:00 AM,11/23/2024 12:00:00 AM,Issued,SEATTLE,WA,98117,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6890605-CN,47.69464016,-122.37306707,"(47.69464016, -122.37306707)"
2816 14TH AVE S,6883531-CN,Multifamily,Residential,New,"Construct north bldg. per plans (Construct two-townhouse buildings and two single-family residences, occupy per plans. Reviews and processing for four -CN's under 6883531)",1,1,3,07/25/2022 12:00:00 AM,654328,09/05/2023 12:00:00 AM,03/05/2025 12:00:00 AM,Issued,SEATTLE,WA,98144,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6883531-CN,47.5781786,-122.31441946,"(47.5781786, -122.31441946)"
6718 35TH PL NW,6912943-CN,Single Family/Duplex,Residential,New,"Construct new DADU, per plan. (Establish use as single family residence and (1) DADU and Construct (2) one- family dwellings, per plan / Review and process for two CN records under 6879844)",0,0,1,07/22/2022 12:00:00 AM,189276,01/13/2023 12:00:00 AM,07/13/2024 12:00:00 AM,Issued,SEATTLE,WA,98117,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6912943-CN,47.67769968,-122.40304768,"(47.67769968, -122.40304768)"
1801 B NW 65TH ST,6912700-CN,Single Family/Duplex,Residential,New,"Construct middle single-family residence. [Establish use and Construct single-family residences, per plan. Review and processing for (3) construction records under 6877609-CN.]",0,0,1,07/22/2022 12:00:00 AM,261561,02/09/2023 12:00:00 AM,08/09/2024 12:00:00 AM,Issued,SEATTLE,WA,98117,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6912700-CN,47.67578812,-122.38015389,"(47.67578812, -122.38015389)"
1801 A NW 65TH ST,6912703-CN,Single Family/Duplex,Residential,New,"Construct south single-family residence. [Establish use and Construct single-family residences, per plan. Review and processing for (3) construction records under 6877609-CN.]",0,0,1,07/22/2022 12:00:00 AM,287154,02/09/2023 12:00:00 AM,08/09/2024 12:00:00 AM,Issued,SEATTLE,WA,98117,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6912703-CN,47.6756977,-122.38015132,"(47.6756977, -122.38015132)"
6720 35TH PL NW,6879844-CN,Single Family/Duplex,Residential,New,"Construct new one-family dwelling, per plan. (Establish use as single family residence and (1) DADU and Construct (2) one- family dwellings, per plan / Review and process for two CN records under 6879844)",0,0,1,07/22/2022 12:00:00 AM,307452,01/13/2023 12:00:00 AM,07/13/2024 12:00:00 AM,Issued,SEATTLE,WA,98117,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6879844-CN,47.67770578,-122.40313627,"(47.67770578, -122.40313627)"
1801 C NW 65TH ST,6877609-CN,Single Family/Duplex,Residential,New,"Construct north single-family residence. [Establish use and Construct single-family residences, per plan. Review and processing for (3) construction records under 6877609-CN.]",0,0,1,07/22/2022 12:00:00 AM,264608,02/09/2023 12:00:00 AM,08/09/2024 12:00:00 AM,Issued,SEATTLE,WA,98117,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6877609-CN,47.67586839,-122.380156,"(47.67586839, -122.380156)"
505 11TH AVE E,6890560-CN,Multifamily,Residential,New,"Construct East multifamily building, occupy per plan. (Construct two new multifamily building per plan / Reviews and processing for 2 C/N's under 6890560-CN)",0,0,3,07/21/2022 12:00:00 AM,923151,03/13/2023 12:00:00 AM,09/13/2024 12:00:00 AM,Issued,SEATTLE,WA,98102,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6890560-CN,47.62329622,-122.3180886,"(47.62329622, -122.3180886)"
4021 W RAYE ST,6912467-CN,Single Family/Duplex,Residential,New,"Construct east one-family dwelling (Establish use as single family residence (w/ detached accessory dwelling unit (DADU)), and construct (2) one-family dwellings, per plan.  Review & process for (2) records under 6833323-CN).",0,0,1,07/21/2022 12:00:00 AM,105625,01/12/2023 12:00:00 AM,07/12/2024 12:00:00 AM,Issued,SEATTLE,WA,98199,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6912467-CN,47.6431077,-122.40918841,"(47.6431077, -122.40918841)"
11554 MERIDIAN AVE N,6912443-CN,Single Family/Duplex,Residential,New,"Construct new DADU, per plan. (Establish use as single family residence with (1) AADU and (1) DADU and Construct one- and two-family dwellings, per plan / Review and process for two CN records under 6893847)",0,0,1,07/20/2022 12:00:00 AM,167626,09/20/2023 12:00:00 AM,03/20/2025 12:00:00 AM,Issued,SEATTLE,WA,98133,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6912443-CN,47.71374923,-122.33355878,"(47.71374923, -122.33355878)"
1141 NW 59TH ST,6910178-CN,Single Family/Duplex,Residential,New,"Construct south building, per plan. (Allow single-family residences with attached accessory dwelling units per per land use code. Construct three two-family dwellings per plans. Reviews and processing for 3 CN's under 6903691)",0,0,2,07/20/2022 12:00:00 AM,405567,05/25/2023 12:00:00 AM,11/25/2024 12:00:00 AM,Issued,SEATTLE,WA,98107,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6910178-CN,47.67135857,-122.37242414,"(47.67135857, -122.37242414)"
11550 MERIDIAN AVE N,6893847-CN,Single Family/Duplex,Residential,New,"Construct new two-family dwelling, per plan. (Establish use as single family residence with (1) AADU and (1) DADU and Construct one- and two-family dwellings, per plan / Review and process for two CN records under 6893847-CN)",0,0,2,07/20/2022 12:00:00 AM,746780,09/20/2023 12:00:00 AM,03/20/2025 12:00:00 AM,Issued,SEATTLE,WA,98133,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6893847-CN,47.71375458,-122.33371051,"(47.71375458, -122.33371051)"
1137 NW 59TH ST,6903691-CN,Single Family/Duplex,Residential,New,"Construct north building, per plan. (Allow single-family residences with attached accessory dwelling units per per land use code. Construct three two-family dwellings per plans. Reviews and processing for 3 CN's under 6903691)",0,0,2,07/20/2022 12:00:00 AM,405567,05/25/2023 12:00:00 AM,11/25/2024 12:00:00 AM,Issued,SEATTLE,WA,98107,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6903691-CN,47.6714747,-122.37246354,"(47.6714747, -122.37246354)"
2209 42ND AVE SW,6906960-CN,Multifamily,Residential,New,"Establish use as & construct townhouse structure [existing one-family dwelling to remain], per plan",1,0,3,07/19/2022 12:00:00 AM,645000,03/06/2023 12:00:00 AM,09/06/2024 12:00:00 AM,Issued,SEATTLE,WA,98116,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6906960-CN,47.58357532,-122.38557667,"(47.58357532, -122.38557667)"
1200 NE 45TH ST,6878444-CN,Multifamily,Residential,New,"Shoring & excavation only for new mixed-use high rise building with parking below, per plan.",0,0,0,07/15/2022 12:00:00 AM,1198500,03/15/2023 12:00:00 AM,09/15/2024 12:00:00 AM,Issued,SEATTLE,WA,98105,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6878444-CN,47.66148299,-122.31522998,"(47.66148299, -122.31522998)"
2414 9TH AVE W,6909667-CN,Single Family/Duplex,Residential,New,"Establish use as single-family residence (w/ attached accessory dwelling unit (AADU), and construct two-family dwelling, per plan",1,1,2,07/15/2022 12:00:00 AM,582240,02/06/2023 12:00:00 AM,08/06/2024 12:00:00 AM,Issued,SEATTLE,WA,98119,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6909667-CN,47.64001284,-122.36848988,"(47.64001284, -122.36848988)"
7322 16TH AVE NW,6908204-CN,Single Family/Duplex,Residential,New,"Construct new two-family dwelling, per plan. (Establish use as single family residence with (1) AADU and (1) DADU and Construct one- and two-family dwellings, per plan / Review and process for two CN records under 6908204-CN)",0,0,2,07/15/2022 12:00:00 AM,399008,02/08/2023 12:00:00 AM,08/08/2024 12:00:00 AM,Issued,SEATTLE,WA,98117,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6908204-CN,47.68202808,-122.3776146,"(47.68202808, -122.3776146)"
7318 16TH AVE NW,6907748-CN,Single Family/Duplex,Residential,New,"Construct new two-family dwelling, per plan. (Establish use as single family residence with (1) AADU and (1) DADU and Construct one- and two-family dwellings, per plan / Review and process for two CN records under 6907748)",0,0,2,07/15/2022 12:00:00 AM,369305,02/09/2023 12:00:00 AM,08/09/2024 12:00:00 AM,Issued,SEATTLE,WA,98117,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6907748-CN,47.68194871,-122.37767125,"(47.68194871, -122.37767125)"
6003 MCKINLEY PL N,6884764-CN,Single Family/Duplex,Residential,New,"Establish use as single-family residence per land use code; construct one-family dwelling, per plan",1,1,1,07/14/2022 12:00:00 AM,871148,02/17/2023 12:00:00 AM,08/17/2024 12:00:00 AM,Issued,SEATTLE,WA,98103,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6884764-CN,47.67268014,-122.33443628,"(47.67268014, -122.33443628)"
2558 26TH AVE W,6883034-CN,Single Family/Duplex,Residential,New,"Establish use as and construct a single-family residence and site work/retaining walls maintaining portions of the existing foundation, per plans",1,1,1,07/13/2022 12:00:00 AM,145424,04/03/2023 12:00:00 AM,10/03/2024 12:00:00 AM,Issued,SEATTLE,WA,98199,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6883034-CN,47.64268146,-122.38982477,"(47.64268146, -122.38982477)"
12033 2ND AVE NE,6883523-CN,Single Family/Duplex,Residential,New,"Construct detached accessory structure to existing single family residence, per plan.",1,0,1,07/13/2022 12:00:00 AM,15000,02/07/2023 12:00:00 AM,08/07/2024 12:00:00 AM,Issued,SEATTLE,WA,98125,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6883523-CN,47.71687932,-122.32790431,"(47.71687932, -122.32790431)"
2438 3RD AVE W,6893871-CN,Multifamily,Residential,New,"Establish use as single family residence with (2) attached accessory dwelling unit (AADU) and construct townhouse, per plan.",0,0,3,07/13/2022 12:00:00 AM,822600,01/19/2023 12:00:00 AM,07/19/2024 12:00:00 AM,Issued,SEATTLE,WA,98119,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6893871-CN,47.64072313,-122.3607063,"(47.64072313, -122.3607063)"
5248 23RD AVE SW,6826748-CN,Single Family/Duplex,Residential,New,"Construct SFR 2, per plans (Establish use as and construct seven single-family residences, per plans. Reviews and processing for 7 CN's under 6633078)",,,,07/11/2022 12:00:00 AM,422435,08/29/2023 12:00:00 AM,02/28/2025 12:00:00 AM,Issued,SEATTLE,WA,98106,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6826748-CN,47.55409741,-122.36156969,"(47.55409741, -122.36156969)"
5250 23RD AVE SW,6826749-CN,Single Family/Duplex,Residential,New,"Construct SFR 3, per plans (Establish use as and construct seven single-family residences, per plans. Reviews and processing for 7 CN's under 6633078)",,,,07/11/2022 12:00:00 AM,470417,07/26/2023 12:00:00 AM,01/26/2025 12:00:00 AM,Issued,SEATTLE,WA,98106,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6826749-CN,47.55396778,-122.36157152,"(47.55396778, -122.36157152)"
5256 23RD AVE SW,6826750-CN,Single Family/Duplex,Residential,New,"Construct SFR 4, per plans (Establish use as and construct seven single-family residences, per plans. Reviews and processing for 7 CN's under 6633078)",,,,07/11/2022 12:00:00 AM,422435,07/26/2023 12:00:00 AM,01/26/2025 12:00:00 AM,Issued,SEATTLE,WA,98106,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6826750-CN,47.55387062,-122.36156867,"(47.55387062, -122.36156867)"
5246 23RD AVE SW,6826751-CN,Single Family/Duplex,Residential,New,"Construct SFR 5, per plans (Establish use as and construct seven single-family residences, per plans. Reviews and processing for 7 CN's under 6633078)",,,,07/11/2022 12:00:00 AM,398743,10/30/2023 12:00:00 AM,04/30/2025 12:00:00 AM,Issued,SEATTLE,WA,98106,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6826751-CN,47.55418318,-122.36114426,"(47.55418318, -122.36114426)"
